filename,expected_class,predicted_class,most_likely_class,confidence,requires_manual_review,pass
normal/commons-13249706.jpg,normal,normal,normal,0.9519250392913818,False,True
normal/commons-13250815.jpg,normal,normal,normal,0.9450982809066772,False,True
normal/commons-13266809.jpg,normal,normal,normal,0.970767617225647,False,True
normal/commons-13285156.jpg,normal,normal,normal,0.9211134910583496,False,True
normal/commons-148482436.jpg,normal,normal,normal,0.9234420657157898,False,True
normal/commons-163247508.jpg,normal,normal,normal,0.9730642437934875,False,True
normal/commons-163259094.jpg,normal,normal,normal,0.9151646494865417,False,True
normal/commons-163277205.jpg,normal,normal,normal,0.9037894606590271,False,True
normal/commons-171254346.jpg,normal,normal,normal,0.8526592254638672,False,True
normal/commons-175112917.jpg,normal,normal,normal,0.894507884979248,False,True
scratch/hitl-1a9d8b4afcbb6278.jpg,scratch,scratch,scratch,0.6532257795333862,False,True
scratch/hitl-55e7dfbbd6c32a45.jpg,scratch,scratch,scratch,0.9462236762046814,False,True
scratch/hitl-770c525bf1838c68.jpg,scratch,scratch,scratch,0.6386043429374695,False,True
scratch/hitl-7bad4a172946acb1.jpg,scratch,unknown,rust,0.5983389616012573,True,False
scratch/hitl-a98f319a0c18c009.jpg,scratch,unknown,dent,0.4199153184890747,True,False
scratch/hitl-b0474468613fafeb.jpg,scratch,unknown,scratch,0.49639782309532166,True,False
scratch/hitl-c9cacf82302fa8bd.jpg,scratch,rust,rust,0.7632123827934265,False,False
scratch/hitl-cfc596d5795336c9.jpg,scratch,rust,rust,0.9434283375740051,False,False
scratch/hitl-fcb53827d9976407.jpg,scratch,unknown,dent,0.44862422347068787,True,False
scratch/hitl-fd8cd45b8f815f94.jpg,scratch,unknown,scratch,0.5286874175071716,True,False
dent/hitl-0d1663dea6ba46c6.jpg,dent,normal,normal,0.847929835319519,False,False
dent/hitl-1315c7b9815cf52d.jpg,dent,dent,dent,0.899560809135437,False,True
dent/hitl-1df918a2063cb805.jpg,dent,unknown,dent,0.37566205859184265,True,False
dent/hitl-44b8fe24c5d1e0b4.jpg,dent,unknown,rust,0.5654460191726685,True,False
dent/hitl-5a26b50f33a0dc87.jpg,dent,rust,rust,0.644257128238678,False,False
dent/hitl-8836b57d8757312a.jpg,dent,scratch,scratch,0.7998653054237366,False,False
dent/hitl-ae75723084a3a06d.jpg,dent,normal,normal,0.769057035446167,False,False
dent/hitl-e2231249ed1aec86.jpg,dent,unknown,scratch,0.5972768068313599,True,False
dent/hitl-ed7d7659eb143dfd.jpg,dent,normal,normal,0.8081721067428589,False,False
dent/hitl-ef4288a3d44fa4d7.jpg,dent,dent,dent,0.8916977047920227,False,True
rust/commons-129623127.jpg,rust,normal,normal,0.6860741972923279,False,False
rust/commons-174158159.jpg,rust,normal,normal,0.8774564266204834,False,False
rust/commons-18484033.jpg,rust,normal,normal,0.9742286205291748,False,False
rust/commons-19820877.jpg,rust,unknown,dent,0.3350466191768646,True,False
rust/commons-38584707.jpg,rust,normal,normal,0.8215858936309814,False,False
rust/commons-38911657.jpg,rust,normal,normal,0.9819896221160889,False,False
rust/commons-39677503.jpg,rust,normal,normal,0.9901740550994873,False,False
rust/commons-61972729.jpg,rust,normal,normal,0.9771501421928406,False,False
rust/commons-6812018.jpg,rust,normal,normal,0.8513985872268677,False,False
rust/commons-88806007.jpg,rust,normal,normal,0.9353500008583069,False,False
