file_path,class_name,original_label,source_dataset,source_url,licence,source_group,review_status,review_notes
normal/commons-10488785.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:2010-05-16-hoek-by-RalfR-28.jpg,GFDL 1.2 (http://www.gnu.org/licenses/old-licenses/fdl-1.2.html),commons-10488785,accepted,Creator: Ralf Roletschek (talk) - Fahrradtechnik auf fahrradmonteur.de; accepted under v2-visual-quality-rules-2026-09-06
normal/commons-10803715.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:Ano_Viannos_R01.jpg,CC BY 3.0 (https://creativecommons.org/licenses/by/3.0),commons-10803715,rejected,Creator: Marc Ryckaert; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-109256661.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,"https://commons.wikimedia.org/wiki/File:2021-08-07_Event,_Oldtimer-Rallye_1._Erfurt_Classic_1DX_9390_by_Stepro.jpg",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-109256661,rejected,Creator: Steffen Prößdorf; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-110018646.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,"https://commons.wikimedia.org/wiki/File:Automated_valet_parking,_IAA_2021,_Munich_(IAA10454).jpg",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-110018646,accepted,Creator: Matti Blume; accepted under v2-visual-quality-rules-2026-09-06
normal/commons-123197095.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:At_Arucas_2022_044.jpg,CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-123197095,rejected,Creator: Photograph by Mike Peel (www.mikepeel.net).; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-123197097.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:At_Arucas_2022_045.jpg,CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-123197097,rejected,Creator: Photograph by Mike Peel (www.mikepeel.net).; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-123197099.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:At_Arucas_2022_046.jpg,CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-123197099,accepted,Creator: Photograph by Mike Peel (www.mikepeel.net).; accepted under v2-visual-quality-rules-2026-09-06
normal/commons-123197104.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:At_Arucas_2022_047.jpg,CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-123197104,rejected,Creator: Photograph by Mike Peel (www.mikepeel.net).; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-123197105.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,https://commons.wikimedia.org/wiki/File:At_Arucas_2022_048.jpg,CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),commons-123197105,rejected,Creator: Photograph by Mike Peel (www.mikepeel.net).; rejected under v2-visual-quality-rules-2026-09-06: failed one or more visual inclusion rules
normal/commons-123627903.jpg,normal,quality automobile photograph; requires no-damage review,Wikimedia Commons / Quality images of automobiles,"https://commons.wikimedia.org/wiki/File:Audi_RS5,_Binz_(P1090702).jpg",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/deed.en),commons-123627903,accepted,Creator: Matti Blume; accepted under v2-visual-quality-rules-2026-09-06
