filename,expected_class,original_label,source_dataset,source_url,licence,licence_url,attribution,source_group,checksum,perceptual_hash,excluded_from_training_validation,selected_before_inference,selection_protocol_version
normal/commons-13249706.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:110_ans_de_l%27automobile_au_Grand_Palais_-_Arrol-Johnston_3_cylindres_20_CV_limousine_%C3%A0_toit_d%C3%A9montable_-_1904_-_005.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Thesupermat,commons-13249706,d4fe553c2f7efd8367af323b4ce5692e6bbb2204d5fa50836ec67429a18448c0,e474e4c4d2c1c5e3,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-13250815.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:110_ans_de_l%27automobile_au_Grand_Palais_-_De_Dion-Bouton_Type_G_4,5_CV_vis-%C3%A0-vis_-_1900_-_005.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Thesupermat,commons-13250815,7189a20771336bb92eae6437ca523aeede9df5d389cfbb0dcd167c7e8f53e0f1,faf8ecd8e4e6e446,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-13266809.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:110_ans_de_l%27automobile_au_Grand_Palais_-_Gardner-Serpollet_biplace_de_course_-_1902_-_003.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Thesupermat,commons-13266809,0c91d3d905620da55b3522be6ee22598407f31899c1722aa896f67eb6536a0c9,246478cccc4a2824,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-13285156.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:110_ans_de_l%27automobile_au_Grand_Palais_-_Panhard_et_Levassor_7_CV_bicylindre_Voiturette_par_Cl%C3%A9ment-Rothschild_-_1902_-_002.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Thesupermat,commons-13285156,ec10a7efd252ded881a53822f5fcb1156331170f6cd6cfb66da85cb0e0852938,f0a1ecccccdc7cff,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-148482436.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:1929_Rolls-Royce_Phantom_II_Boattail,_TCE_24,_Essen_(TCE43402-RR).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-148482436,67af48c10db1292975d4801f5cb6216acc18443dff900a1dab68460347ae17c7,b0fcd2306946f131,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-163247508.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:00_car,_40._ADAC_Stormarn_Rallye,_Luetjensee_(TR256763).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-163247508,24106d5c5001f1435d4596150cca22cc2069f84db4bd98b2a1f6e49883036e51,3f27606e30597979,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-163259094.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:18._ADAC_Stormarn_Classic,_Zarpen_(TR257226).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-163259094,2408dc217e6bf2cf1293d685df3b3230156cc8666a9610b71f02a465e656a8ca,0406e10c97ae6e6c,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-163277205.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:14._ADAC_Stormarn_Retro,_Zarpen_(TR257077).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-163277205,d2e317a31d967bb5e70f176286649758d1700dbb2844a2e4b5e447b46e1cb8ec,0fc439311a3c4c3c,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-171254346.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:1930_Ford,_ADAC_Deutschland_Klassik_2025,_Schwetzingen_(20250726-P1048482).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-171254346,19a53a477da8e6de28361ad1f244f99885854cccdd367b8f0d5c7c4c944361e9,003031524616040c,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
normal/commons-175112917.jpg,normal,visually reviewed undamaged car,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:1936_Rolls-Royce_Phantom_III_Landaulet,_Classic-Gala_2025,_Schwetzingen_(20250906-P1049456).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Matti Blume,commons-175112917,6f29704381bd30b287be1b9947b855f48f6abbf995a917b1b3eb24549413856f,70ecc3c3e7f4b197,yes,yes,panelcheck-demo-visual-review-v1-2026-09-06
